Address,CategoryID,CategoryName,City,ContactName,COS,Country,Customer,CustomerID,Description,Discount,EmployeeID,Fax,Freight,GP,Month,OrderID,Phone,PostalCode,ProductID,ProductName,Quantity,Quarter,Sales,ShipperID,SupplierID,OrderDate
1 rue Alsace-Lorraine,5,Ladies´Footwear,Toulouse,Louise Davu,87.4768,France,Elle Fashion & Design,41,Ladies Shoes,0,5,61.77.61.11,30.97,11.7032,Nov,10832,61.77.61.10,31000,64,WFS shoes,3,Q4,99.18,1,12,11/19/2016
1 rue Alsace-Lorraine,5,Ladies´Footwear,Toulouse,Louise Davu,116.424,France,Elle Fashion & Design,41,Ladies Shoes,26.4,4,61.77.61.11,76.9,41.976,Jun,10923,61.77.61.10,31000,42,Balett Shoes,10,Q2,158.4,1,20,6/5/2017
1 rue Alsace-Lorraine,7,Children´s wear,Toulouse,Louise Davu,310.7981,France,Elle Fashion & Design,41,3-15 Years,18.768,5,61.77.61.11,53.28,83.3299,Apr,10500,61.77.61.10,31000,28,RDL Suit,8,Q2,394.128,1,12,4/14/2016
1 rue Alsace-Lorraine,8,Babywear,Toulouse,Louise Davu,40.2797,France,Elle Fashion & Design,41,0-3 Years,9.324,4,61.77.61.11,66.09,15.6643,Oct,10371,61.77.61.10,31000,36,Mehmet-Tröja,6,Q4,55.944,1,17,10/9/2014
1 rue Alsace-Lorraine,8,Babywear,Toulouse,Louise Davu,67.7376,France,Elle Fashion & Design,41,0-3 Years,15.36,5,61.77.61.11,30.97,24.4224,Nov,10832,61.77.61.10,31000,13,Aino Shoes,3,Q4,92.16,1,6,11/19/2016
1 rue Alsace-Lorraine,8,Babywear,Toulouse,Louise Davu,128.9358,France,Elle Fashion & Design,41,0-3 Years,39.795,4,61.77.61.11,67.44,70.0392,May,10610,61.77.61.10,31000,36,Mehmet-Tröja,21,Q2,198.975,1,17,5/30/2016
"2, rue du Commerce",1,Men´s Clothes,Lyon,Pierre Robert,308.772,France,Art et Fashion,84,Fashion for Men,95.3,4,78.32.54.87,38.16,167.728,Nov,10806,78.32.54.86,69004,2,Mr X Trousers,20,Q4,476.5,1,1,11/5/2017
"2, rue du Commerce",1,Men´s Clothes,Lyon,Pierre Robert,711.5094,France,Art et Fashion,84,Fashion for Men,121.005,4,78.32.54.87,58.8,216.1956,Nov,10850,78.32.54.86,69004,70,US-Master Jeans,30,Q4,927.705,1,7,11/28/2016
"2, rue du Commerce",2,Womens wear,Lyon,Pierre Robert,15.3414,France,Art et Fashion,84,Fashion for Women,0,4,78.32.54.87,38.16,3.5986,Nov,10806,78.32.54.86,69004,65,Stretch oui-pants,2,Q4,18.94,1,2,11/5/2017
"2, rue du Commerce",3,Sportwear,Lyon,Pierre Robert,92.9275,France,Art et Fashion,84,Sports…,15.804,4,78.32.54.87,58.8,28.2365,Nov,10850,78.32.54.86,69004,33,Car Boots,4,Q4,121.164,1,15,11/28/2016
"2, rue du Commerce",3,Sportwear,Lyon,Pierre Robert,116.7875,France,Art et Fashion,84,Sports…,0,5,78.32.54.87,41.01,10.6125,May,10334,78.32.54.86,69004,68,Cap,10,Q2,127.4,1,8,5/26/2016
"2, rue du Commerce",3,Sportwear,Lyon,Pierre Robert,174.973,France,Art et Fashion,84,Sports…,42.264,5,78.32.54.87,39.15,78.611,Aug,10450,78.32.54.86,69004,54,Patamonia Fleece Jacket,6,Q3,253.584,1,25,8/28/2015
"2, rue du Commerce",3,Sportwear,Lyon,Pierre Robert,244.1376,France,Art et Fashion,84,Sports…,41.52,4,78.32.54.87,58.8,74.1824,Nov,10850,78.32.54.86,69004,25,Basket Vest,20,Q4,318.32,1,11,11/28/2016
"2, rue du Commerce",3,Sportwear,Lyon,Pierre Robert,659.745,France,Art et Fashion,84,Sports…,122.175,4,78.32.54.87,76.36,276.93,Nov,10814,78.32.54.86,69004,61,Adihash Running Shoe,30,Q4,936.675,1,29,11/10/2016
"2, rue du Commerce",3,Sportwear,Lyon,Pierre Robert,956.124,France,Art et Fashion,84,Sports…,0,4,78.32.54.87,37.46,224.276,Feb,10546,78.32.54.86,69004,62,Sheat Shoes,40,Q1,1180.4,1,29,2/27/2015
"2, rue du Commerce",4,Bath Clothes,Lyon,Pierre Robert,147.258,France,Art et Fashion,84,Beachwear,0,4,78.32.54.87,37.46,34.542,Feb,10546,78.32.54.86,69004,35,LA. Shorts,30,Q1,181.8,1,16,2/27/2015
"2, rue du Commerce",4,Bath Clothes,Lyon,Pierre Robert,199.584,France,Art et Fashion,84,Beachwear,36.96,4,78.32.54.87,76.36,83.776,Nov,10814,78.32.54.86,69004,43,Summer Shorts,20,Q4,283.36,1,20,11/10/2016
"2, rue du Commerce",4,Bath Clothes,Lyon,Pierre Robert,424.2672,France,Art et Fashion,84,Beachwear,0,5,78.32.54.87,26.28,88.1328,Mar,10459,78.32.54.86,69004,72,Rossi Shorts,40,Q1,512.4,1,14,3/2/2016
"2, rue du Commerce",5,Ladies´Footwear,Lyon,Pierre Robert,502.9171,France,Art et Fashion,84,Ladies Shoes,0,5,78.32.54.87,41.01,79.1629,May,10334,78.32.54.86,69004,52,Small Crocodile Boots,8,Q2,582.08,1,24,5/26/2016
"2, rue du Commerce",6,Men´s Footwear,Lyon,Pierre Robert,214.488,France,Art et Fashion,84,Men Shoes,39.72,4,78.32.54.87,76.36,90.032,Nov,10814,78.32.54.86,69004,48,Root Boot,8,Q4,304.52,1,22,11/10/2016
"2, rue du Commerce",6,Men´s Footwear,Lyon,Pierre Robert,334.1722,France,Art et Fashion,84,Men Shoes,94.72,4,78.32.54.87,46.32,139.4278,Nov,10843,78.32.54.86,69004,51,Snake Boots,4,Q4,473.6,1,24,11/26/2016
"2, rue du Commerce",7,Children´s wear,Lyon,Pierre Robert,350.2845,France,Art et Fashion,84,3-15 Years,108.1125,4,78.32.54.87,38.16,190.278,Nov,10806,78.32.54.86,69004,74,Nikee Running Shoes,15,Q4,540.5625,1,4,11/5/2017
"2, rue du Commerce",7,Children´s wear,Lyon,Pierre Robert,352.026,France,Art et Fashion,84,3-15 Years,0,4,78.32.54.87,37.46,82.574,Feb,10546,78.32.54.86,69004,7,Conserve Shoes,10,Q1,434.6,1,3,2/27/2015
"2, rue du Commerce",7,Children´s wear,Lyon,Pierre Robert,517.2019,France,Art et Fashion,84,3-15 Years,31.232,5,78.32.54.87,26.28,138.6701,Mar,10459,78.32.54.86,69004,7,Conserve Shoes,16,Q1,655.872,1,3,3/2/2016
"2, rue du Commerce",8,Babywear,Lyon,Pierre Robert,109.296,France,Art et Fashion,84,0-3 Years,6.6,4,78.32.54.87,28.49,29.304,Sep,10478,78.32.54.86,69004,10,Sapporoo Gloves,20,Q3,138.6,1,4,9/24/2015
"2, rue du Commerce",8,Babywear,Lyon,Pierre Robert,127.4957,France,Art et Fashion,84,0-3 Years,30.56,5,78.32.54.87,39.15,55.8643,Aug,10450,78.32.54.86,69004,10,Sapporoo Gloves,20,Q3,183.36,1,4,8/28/2015
"2, rue du Commerce",8,Babywear,Lyon,Pierre Robert,143.856,France,Art et Fashion,84,0-3 Years,0,4,78.32.54.87,76.36,33.744,Nov,10814,78.32.54.86,69004,41,Duck Shirt,20,Q4,177.6,1,19,11/10/2016
"2, rue du Commerce",8,Babywear,Lyon,Pierre Robert,198.3888,France,Art et Fashion,84,0-3 Years,11.98,5,78.32.54.87,26.28,53.1912,Mar,10459,78.32.54.86,69004,46,Rodbye Troje,20,Q1,251.58,1,21,3/2/2016
5ª Ave. Los Palos Grandes,1,Men´s Clothes,Caracas,Antonio Palmer Amer,65.124,Venezuela,El Abrigo Mortal,33,Fashion for Men,0,9,(2) 283-3397,60.35,15.276,Oct,10785,(2) 283-2951,1081,75,Bow tie,10,Q4,80.4,2,12,10/23/2016
5ª Ave. Los Palos Grandes,1,Men´s Clothes,Caracas,Antonio Palmer Amer,81.8496,Venezuela,El Abrigo Mortal,33,Fashion for Men,0,3,(2) 283-3397,31.11,10.9504,Apr,10984,(2) 283-2951,1081,24,Samba Socker  Socks,20,Q2,92.8,2,10,4/4/2017
5ª Ave. Los Palos Grandes,3,Sportwear,Caracas,Antonio Palmer Amer,487.5255,Venezuela,El Abrigo Mortal,33,Sports…,0,3,(2) 283-3397,31.11,65.2245,Apr,10984,(2) 283-2951,1081,16,Wimbledon T-Shirt,55,Q2,552.75,2,7,4/4/2017
5ª Ave. Los Palos Grandes,4,Bath Clothes,Caracas,Antonio Palmer Amer,43.6838,Venezuela,El Abrigo Mortal,33,Beachwear,0,3,(2) 283-3397,69.28,6.8762,Jun,10268,(2) 283-2951,1081,72,Rossi Shorts,4,Q2,50.56,2,14,6/5/2014
5ª Ave. Los Palos Grandes,6,Men´s Footwear,Caracas,Antonio Palmer Amer,1013.472,Venezuela,El Abrigo Mortal,33,Men Shoes,0,3,(2) 283-3397,69.28,159.528,Jun,10268,(2) 283-2951,1081,29,Davenport,10,Q2,1173,2,12,6/5/2014
5ª Ave. Los Palos Grandes,8,Babywear,Caracas,Antonio Palmer Amer,52.002,Venezuela,El Abrigo Mortal,33,0-3 Years,0,9,(2) 283-3397,60.35,12.198,Oct,10785,(2) 283-2951,1081,10,Sapporoo Gloves,10,Q4,64.2,2,4,10/23/2016
5ª Ave. Los Palos Grandes,8,Babywear,Caracas,Antonio Palmer Amer,315.8472,Venezuela,El Abrigo Mortal,33,0-3 Years,0,3,(2) 283-3397,31.11,34.1528,Apr,10984,(2) 283-2951,1081,36,Mehmet-Tröja,40,Q2,350,2,17,4/4/2017
8 Johnstown Road,1,Men´s Clothes,Cork,Robert Bolero,31.0003,Ireland,Boleros,37,Fashion for Men,0,3,29673333,31.78,6.4397,Jul,10520,2967542,12580,24,Samba Socker  Socks,8,Q3,37.44,2,10,7/4/2016
8 Johnstown Road,1,Men´s Clothes,Cork,Robert Bolero,47.3121,Ireland,Boleros,37,Fashion for Men,0,9,29673333,71.33,11.0979,Apr,10722,2967542,12580,2,Mr X Trousers,3,Q2,58.41,2,1,4/3/2016
8 Johnstown Road,1,Men´s Clothes,Cork,Robert Bolero,65.9232,Ireland,Boleros,37,Fashion for Men,0,3,29673333,76.68,10.3768,Feb,10312,2967542,12580,75,Bow tie,10,Q1,76.3,2,12,2/26/2016
8 Johnstown Road,1,Men´s Clothes,Cork,Robert Bolero,67.032,Ireland,Boleros,37,Fashion for Men,0,3,29673333,28.52,8.968,Feb,11003,2967542,12580,1,Lenin Jeansshorts,4,Q1,76,2,1,2/10/2017
8 Johnstown Road,1,Men´s Clothes,Cork,Robert Bolero,77.1379,Ireland,Boleros,37,Fashion for Men,0,3,29673333,71.58,12.1421,Jan,10309,2967542,12580,71,Atles Lussekofta,3,Q1,89.28,2,15,1/22/2016
8 Johnstown Road,1,Men´s Clothes,Cork,Robert Bolero,79.704,Ireland,Boleros,37,Fashion for Men,0,9,29673333,40.99,18.696,Apr,10695,2967542,12580,24,Samba Socker  Socks,20,Q2,98.4,2,10,4/12/2016
8 Johnstown Road,1,Men´s Clothes,Cork,Robert Bolero,100.656,Ireland,Boleros,37,Fashion for Men,0,3,29673333,75.77,15.844,Feb,10355,2967542,12580,24,Samba Socker  Socks,25,Q1,116.5,2,10,2/19/2017
8 Johnstown Road,1,Men´s Clothes,Cork,Robert Bolero,102.0915,Ireland,Boleros,37,Fashion for Men,0,9,29673333,47.58,13.6585,Jul,10946,2967542,12580,24,Samba Socker  Socks,25,Q3,115.75,2,10,7/18/2017
8 Johnstown Road,1,Men´s Clothes,Cork,Robert Bolero,114.8364,Ireland,Boleros,37,Fashion for Men,32.55,3,29673333,77.16,47.9136,Apr,11000,2967542,12580,24,Samba Socker  Socks,30,Q2,162.75,2,10,4/11/2017
8 Johnstown Road,1,Men´s Clothes,Cork,Robert Bolero,117.9965,Ireland,Boleros,37,Fashion for Men,27.314,9,29673333,46.91,45.8875,Feb,10335,2967542,12580,2,Mr X Trousers,7,Q1,163.884,2,1,2/25/2016
8 Johnstown Road,1,Men´s Clothes,Cork,Robert Bolero,122.31,Ireland,Boleros,37,Fashion for Men,0,9,29673333,63.69,28.69,Sep,10736,2967542,12580,75,Bow tie,20,Q3,151,2,12,9/16/2016
8 Johnstown Road,1,Men´s Clothes,Cork,Robert Bolero,154.4551,Ireland,Boleros,37,Fashion for Men,0,9,29673333,37.44,32.0849,Aug,10517,2967542,12580,70,US-Master Jeans,6,Q3,186.54,2,7,8/30/2015
8 Johnstown Road,1,Men´s Clothes,Cork,Robert Bolero,207.7949,Ireland,Boleros,37,Fashion for Men,25.096,9,29673333,79.18,68.2611,Nov,10420,2967542,12580,70,US-Master Jeans,8,Q4,276.056,2,7,11/26/2016
8 Johnstown Road,1,Men´s Clothes,Cork,Robert Bolero,236.3175,Ireland,Boleros,37,Fashion for Men,72.9375,3,29673333,58.82,128.37,Sep,10646,2967542,12580,1,Lenin Jeansshorts,15,Q3,364.6875,2,1,9/1/2016
8 Johnstown Road,1,Men´s Clothes,Cork,Robert Bolero,250.3872,Ireland,Boleros,37,Fashion for Men,0,9,29673333,71.33,58.7328,Apr,10722,2967542,12580,75,Bow tie,42,Q2,309.12,2,12,4/3/2016
8 Johnstown Road,1,Men´s Clothes,Cork,Robert Bolero,520.992,Ireland,Boleros,37,Fashion for Men,96.48,9,29673333,34.44,218.688,Aug,10701,2967542,12580,71,Atles Lussekofta,20,Q3,739.68,2,15,8/18/2016
8 Johnstown Road,1,Men´s Clothes,Cork,Robert Bolero,606.1824,Ireland,Boleros,37,Fashion for Men,0,2,29673333,78.52,95.4176,Jul,10298,2967542,12580,2,Mr X Trousers,40,Q3,701.6,2,1,7/12/2014
8 Johnstown Road,1,Men´s Clothes,Cork,Robert Bolero,674.406,Ireland,Boleros,37,Fashion for Men,0,9,29673333,77.11,140.094,Oct,10380,2967542,12580,70,US-Master Jeans,30,Q4,814.5,2,7,10/22/2017
8 Johnstown Road,1,Men´s Clothes,Cork,Robert Bolero,729,Ireland,Boleros,37,Fashion for Men,225,3,29673333,58.82,396,Sep,10646,2967542,12580,71,Atles Lussekofta,30,Q3,1125,2,15,9/1/2016
8 Johnstown Road,1,Men´s Clothes,Cork,Robert Bolero,753.3972,Ireland,Boleros,37,Fashion for Men,136.485,3,29673333,73.65,292.9878,Jan,10440,2967542,12580,2,Mr X Trousers,45,Q1,1046.385,2,1,1/14/2015
8 Johnstown Road,1,Men´s Clothes,Cork,Robert Bolero,761.0976,Ireland,Boleros,37,Fashion for Men,0,3,29673333,23.33,158.1024,Jan,10442,2967542,12580,11,Desperado Jeans,30,Q1,919.2,2,5,1/15/2015
8 Johnstown Road,1,Men´s Clothes,Cork,Robert Bolero,899.64,Ireland,Boleros,37,Fashion for Men,255,3,29673333,59.74,375.36,Jul,10912,2967542,12580,11,Desperado Jeans,40,Q3,1275,2,5,7/1/2017
8 Johnstown Road,1,Men´s Clothes,Cork,Robert Bolero,1178.55,Ireland,Boleros,37,Fashion for Men,145.5,9,29673333,51.05,421.95,Oct,10800,2967542,12580,11,Desperado Jeans,50,Q4,1600.5,2,5,10/31/2017
8 Johnstown Road,1,Men´s Clothes,Cork,Robert Bolero,1243.656,Ireland,Boleros,37,Fashion for Men,0,9,29673333,63.98,258.344,Mar,10458,2967542,12580,71,Atles Lussekofta,50,Q1,1502,2,15,3/1/2017
8 Johnstown Road,1,Men´s Clothes,Cork,Robert Bolero,1373.328,Ireland,Boleros,37,Fashion for Men,317.9,9,29673333,25.5,534.072,Oct,10373,2967542,12580,71,Atles Lussekofta,50,Q4,1907.4,2,15,10/10/2017
8 Johnstown Road,2,Womens wear,Cork,Robert Bolero,95.6448,Ireland,Boleros,37,Fashion for Women,0,3,29673333,71.58,15.0552,Jan,10309,2967542,12580,6,Shagall Socks,30,Q1,110.7,2,3,1/22/2016
8 Johnstown Road,2,Womens wear,Cork,Robert Bolero,147.42,Ireland,Boleros,37,Fashion for Women,0,9,29673333,40.99,34.58,Apr,10695,2967542,12580,8,Tuxedo,10,Q2,182,2,3,4/12/2016
8 Johnstown Road,2,Womens wear,Cork,Robert Bolero,148.9353,Ireland,Boleros,37,Fashion for Women,8.835,3,29673333,23.09,36.5997,Aug,10712,2967542,12580,53,Jumpin Jack Flash Dress,3,Q3,185.535,2,24,8/26/2016
8 Johnstown Road,2,Womens wear,Cork,Robert Bolero,159.4809,Ireland,Boleros,37,Fashion for Women,39.378,3,29673333,63.6,76.7871,Jul,10661,2967542,12580,39,Terence Top,3,Q3,236.268,2,18,7/15/2016
8 Johnstown Road,2,Womens wear,Cork,Robert Bolero,181.1092,Ireland,Boleros,37,Fashion for Women,0,3,29673333,29.87,16.2908,Apr,10503,2967542,12580,65,Stretch oui-pants,20,Q2,197.4,2,2,4/17/2015
8 Johnstown Road,2,Womens wear,Cork,Robert Bolero,235.566,Ireland,Boleros,37,Fashion for Women,0,3,29673333,31.78,48.934,Jul,10520,2967542,12580,53,Jumpin Jack Flash Dress,5,Q3,284.5,2,24,7/4/2016
8 Johnstown Road,2,Womens wear,Cork,Robert Bolero,302.94,Ireland,Boleros,37,Fashion for Women,0,9,29673333,63.69,71.06,Sep,10736,2967542,12580,65,Stretch oui-pants,40,Q3,374,2,2,9/16/2016
8 Johnstown Road,2,Womens wear,Cork,Robert Bolero,319.14,Ireland,Boleros,37,Fashion for Women,0,3,29673333,37.65,74.86,Feb,10742,2967542,12580,3,Chantell Shirt,20,Q1,394,2,1,2/17/2016
8 Johnstown Road,2,Womens wear,Cork,Robert Bolero,328.6332,Ireland,Boleros,37,Fashion for Women,0,3,29673333,77.16,43.9668,Apr,11000,2967542,12580,77,Skirt,30,Q2,372.6,2,12,4/11/2017
8 Johnstown Road,2,Womens wear,Cork,Robert Bolero,373.3695,Ireland,Boleros,37,Fashion for Women,115.2375,3,29673333,58.82,202.818,Sep,10646,2967542,12580,77,Skirt,35,Q3,576.1875,2,12,9/1/2016
8 Johnstown Road,2,Womens wear,Cork,Robert Bolero,373.9392,Ireland,Boleros,37,Fashion for Women,0,3,29673333,71.58,58.8608,Jan,10309,2967542,12580,4,Oyaki Kimono,20,Q1,432.8,2,2,1/22/2016
8 Johnstown Road,2,Womens wear,Cork,Robert Bolero,449.5995,Ireland,Boleros,37,Fashion for Women,127.4375,3,29673333,77.16,187.588,Apr,11000,2967542,12580,4,Oyaki Kimono,25,Q2,637.1875,2,2,4/11/2017
8 Johnstown Road,2,Womens wear,Cork,Robert Bolero,482.9832,Ireland,Boleros,37,Fashion for Women,0,9,29673333,47.58,64.6168,Jul,10946,2967542,12580,77,Skirt,40,Q3,547.6,2,12,7/18/2017
8 Johnstown Road,2,Womens wear,Cork,Robert Bolero,630.315,Ireland,Boleros,37,Fashion for Women,190.3125,9,29673333,48.41,321.2475,Mar,10429,2967542,12580,63,Serve-Shirt,35,Q1,951.5625,2,7,3/5/2015
8 Johnstown Road,2,Womens wear,Cork,Robert Bolero,775.7014,Ireland,Boleros,37,Fashion for Women,0,9,29673333,54.81,103.7786,Feb,11034,2967542,12580,44,Okkaba Skin Jackets,12,Q1,879.48,2,20,2/24/2017
8 Johnstown Road,2,Womens wear,Cork,Robert Bolero,967.7664,Ireland,Boleros,37,Fashion for Women,0,3,29673333,23.33,201.0336,Jan,10442,2967542,12580,66,Langoste Shirt,60,Q1,1168.8,2,2,1/15/2015
8 Johnstown Road,2,Womens wear,Cork,Robert Bolero,1053.3888,Ireland,Boleros,37,Fashion for Women,121.92,9,29673333,77.11,287.7312,Oct,10380,2967542,12580,53,Jumpin Jack Flash Dress,20,Q4,1341.12,2,24,10/22/2017
8 Johnstown Road,2,Womens wear,Cork,Robert Bolero,1092.6144,Ireland,Boleros,37,Fashion for Women,0,3,29673333,76.68,171.9856,Feb,10312,2967542,12580,53,Jumpin Jack Flash Dress,20,Q1,1264.6,2,24,2/26/2016
8 Johnstown Road,2,Womens wear,Cork,Robert Bolero,2079.6048,Ireland,Boleros,37,Fashion for Women,0,3,29673333,44.7,431.9952,Jun,10388,2967542,12580,53,Jumpin Jack Flash Dress,40,Q2,2511.6,2,24,6/25/2015
8 Johnstown Road,2,Womens wear,Cork,Robert Bolero,10182.186,Ireland,Boleros,37,Fashion for Women,1885.5901,9,29673333,34.44,4274.0041,Aug,10701,2967542,12580,76,Minnki Pälsii,35,Q3,14456.1901,2,23,8/18/2016
8 Johnstown Road,3,Sportwear,Cork,Robert Bolero,24.8832,Ireland,Boleros,37,Sports…,2.88,9,29673333,77.11,6.7968,Oct,10380,2967542,12580,60,Game Over T-Shirt,6,Q4,31.68,2,28,10/22/2017
8 Johnstown Road,3,Sportwear,Cork,Robert Bolero,27.4896,Ireland,Boleros,37,Sports…,0,9,29673333,37.44,5.7104,Aug,10517,2967542,12580,59,Rasta WCT,4,Q3,33.2,2,28,8/30/2015
8 Johnstown Road,3,Sportwear,Cork,Robert Bolero,28.4602,Ireland,Boleros,37,Sports…,3.294,3,29673333,67.66,7.7738,Oct,10350,2967542,12580,69,Racing Truck  Socks,18,Q4,36.234,2,15,10/17/2014
8 Johnstown Road,3,Sportwear,Cork,Robert Bolero,42.3108,Ireland,Boleros,37,Sports…,2.555,9,29673333,43.11,11.3442,Oct,10519,2967542,12580,60,Game Over T-Shirt,10,Q4,53.655,2,28,10/24/2015
8 Johnstown Road,3,Sportwear,Cork,Robert Bolero,94.8332,Ireland,Boleros,37,Sports…,27.45,9,29673333,59.87,42.4168,Jul,10651,2967542,12580,19,Squash Shorts,12,Q3,137.25,2,8,7/7/2016
8 Johnstown Road,3,Sportwear,Cork,Robert Bolero,128.3839,Ireland,Boleros,37,Sports…,0,9,29673333,54.81,17.1761,Feb,11034,2967542,12580,61,Adihash Running Shoe,6,Q1,145.56,2,29,2/24/2017
8 Johnstown Road,3,Sportwear,Cork,Robert Bolero,143.4132,Ireland,Boleros,37,Sports…,16.26,9,29673333,54.81,35.4468,Feb,11034,2967542,12580,21,Basket Shoes,15,Q1,178.86,2,8,2/24/2017
8 Johnstown Road,3,Sportwear,Cork,Robert Bolero,183.4245,Ireland,Boleros,37,Sports…,22.645,9,29673333,51.05,65.6705,Oct,10800,2967542,12580,54,Patamonia Fleece Jacket,7,Q4,249.095,2,25,10/31/2017
8 Johnstown Road,3,Sportwear,Cork,Robert Bolero,213.7104,Ireland,Boleros,37,Sports…,24.735,3,29673333,67.66,58.3746,Oct,10350,2967542,12580,50,Finnish Swimsuit,15,Q4,272.085,2,23,10/17/2014
8 Johnstown Road,3,Sportwear,Cork,Robert Bolero,216.675,Ireland,Boleros,37,Sports…,0,3,29673333,37.65,50.825,Feb,10742,2967542,12580,60,Game Over T-Shirt,50,Q1,267.5,2,28,2/17/2016
8 Johnstown Road,3,Sportwear,Cork,Robert Bolero,237.168,Ireland,Boleros,37,Sports…,68.625,2,29673333,78.52,105.957,Jul,10298,2967542,12580,59,Rasta WCT,30,Q3,343.125,2,28,7/12/2014
8 Johnstown Road,3,Sportwear,Cork,Robert Bolero,243.324,Ireland,Boleros,37,Sports…,30.04,3,29673333,31.69,87.116,Apr,10751,2967542,12580,50,Finnish Swimsuit,20,Q2,330.44,2,23,4/29/2016
8 Johnstown Road,3,Sportwear,Cork,Robert Bolero,261.8772,Ireland,Boleros,37,Sports…,64.48,9,29673333,40.24,125.0028,Apr,10567,2967542,12580,59,Rasta WCT,40,Q2,386.88,2,28,4/7/2015
8 Johnstown Road,3,Sportwear,Cork,Robert Bolero,296.1684,Ireland,Boleros,37,Sports…,36.564,3,29673333,31.69,106.0356,Apr,10751,2967542,12580,26,Bike Helmet,12,Q2,402.204,2,11,4/29/2016
8 Johnstown Road,3,Sportwear,Cork,Robert Bolero,296.3142,Ireland,Boleros,37,Sports…,54.873,9,29673333,34.44,124.3788,Aug,10701,2967542,12580,59,Rasta WCT,42,Q3,420.693,2,28,8/18/2016
8 Johnstown Road,3,Sportwear,Cork,Robert Bolero,297.8338,Ireland,Boleros,37,Sports…,33.768,9,29673333,72.53,73.6142,Apr,10985,2967542,12580,16,Wimbledon T-Shirt,36,Q2,371.448,2,7,4/4/2017
8 Johnstown Road,3,Sportwear,Cork,Robert Bolero,362.3616,Ireland,Boleros,37,Sports…,0,3,29673333,45.86,84.9984,Nov,10815,2967542,12580,33,Car Boots,16,Q4,447.36,2,15,11/10/2016
8 Johnstown Road,3,Sportwear,Cork,Robert Bolero,362.88,Ireland,Boleros,37,Sports…,0,2,29673333,78.52,57.12,Jul,10298,2967542,12580,62,Sheat Shoes,15,Q3,420,2,29,7/12/2014
8 Johnstown Road,3,Sportwear,Cork,Robert Bolero,374.8853,Ireland,Boleros,37,Sports…,67.914,3,29673333,73.65,145.7887,Jan,10440,2967542,12580,16,Wimbledon T-Shirt,49,Q1,520.674,2,7,1/14/2015
